WORD,Val,Val_sd,joy,joy_sd,anger,anger_sd,sadness,sadness_sd,fear,fear_sd,disgust,disgust_sd
galle,"-1,6","0,99472292","1,1","0,30779351","1,95","1,1459","1,4","0,8208","1,75","1,0195","4,05","1,099"
ganove,"-1,4","0,6992059","1,3182","0,64633499","2,4545","1,2622","1,5909","1,2212","2,1364","1,4572","1,5455","1,1434"
gans,"0,19","1,4","2,5238","1,20909254","1,5238","1,0779","1,4762","0,9284","1,4286","0,9258","1,5238","0,8729"
garaus,"-1,75","1,01954582","1,1739","0,83405766","1,913","1,1644","1,7391","1,2511","2,1739","1,3022","1,7826","0,998"
garten,"1,8","0,69585237","3,5217","1,08164711","1,2174","0,6713","1,1739","0,8341","1,2174","0,8505","1,2609","0,7518"
gast,"1,41176471","1,18366782","3,1905","1,07791686","1,7143","1,0071","1,2381","0,7003","1,381","0,74","1,4762","1,1233"
gatte,"0,7","1,21828179","2,25","1,1641577","1,65","1,0894","1,65","1,1367","1,55","0,8256","1,45","1,099"
gauner,"-1,35","1,26802789","1,2727","0,6310851","2,9545","1,3965","1,3182","0,7799","2,5","1,5353","1,5","1,0118"
gebein,"-1,15","0,8127277","1,15","0,48936048","1,2","0,4104","1,4","0,6806","1,7","1,0311","2,8","1,4364"
gebet,"0,75","1,51744245","1,85","1,03998988","1,8","1,3219","1,95","1,2344","1,7","1,1286","1,45","0,9445"
gebiet,"0,1","0,78806893","1,1429","0,35856858","1,1429","0,4781","1,0952","0,3008","1,0952","0,3008",1,0
gebot,"0,2","1,32188064","1,4762","1,03048763","2,5714","1,4343","1,4762","0,8136","1,7143","1,0071","1,4286","0,9783"
geburt,"1,9","0,91190951","3,1818","1,5625487","1,0455","0,2132","1,0455","0,2132",2,"1,069","1,7727","1,0204"
gedanke,"1,5","1,08012345","2,75","1,48235233","1,25","0,5501","1,35","0,7452","1,25","0,7164","1,05","0,2236"
gedicht,"0,7","0,67494856","3,25","1,1641577","1,1","0,3078","1,2","0,5231",1,0,"1,05","0,2236"
geduld,2,"0,81649658","2,1739","1,26678454",2,1,"1,1739","0,491","1,2174","0,5184","1,2174","0,5997"
gefahr,"-1,8","0,61558701","1,087","0,28810407","1,8261","1,2304","1,6957","1,1455","3,087","1,3788","1,1739","0,491"
gefÃ¼hl,"2,20588235","0,84492825","3,2727","1,2024506","2,2273","1,2699","2,1364","1,2834","2,0455","1,362","1,4091","1,1816"
gegend,"0,3","0,9486833","1,6818","1,04135277","1,0909","0,2942","1,0909","0,2942","1,2727","0,5505","1,1364","0,3513"
gegner,"-1,4","1,0749677","1,2174","0,85048231","2,6522","1,1912","1,4783","0,7903","2,3043","1,3292","1,2174","0,5997"
gehalt,"1,1","0,87559504","3,1304","1,5167054","1,6522","0,9821","1,1739","0,491","1,3478","0,5728","1,2174","0,5997"
geheul,"-1,6","0,75393703","1,0833","0,28232985","2,625","1,2446","2,3333","1,3406","1,9167","1,2482","1,625","1,0135"
gehirn,"1,5","1,1785113","1,65","1,08942283","1,1","0,4472",1,0,"1,25","0,6387",2,"1,1239"
geier,"-0,5","1,19207912","1,6","1,14248114","1,95","1,0501","1,5","0,7609","2,1","1,2937","2,8","1,4726"
geige,"1,5","1,14","3,2","1,23969436","1,5","0,8272","2,15","1,5313","1,2","0,5231","1,4","1,0954"
geisel,"-2,2","1,1050125","1,2174","0,85048231","2,9565","1,2605","2,2609","1,4212","3,2174","1,4446","1,6957","1,1051"
geist,"1,1","1,44913767",2,"1,33771211","1,45","0,7592","1,6","0,7539","2,2","1,0563","1,25","0,6387"
geiz,"-1,6","0,96609178","1,087","0,28810407","3,5652","0,9921","1,9565","1,1862",2,"1,3817","2,2174","1,4128"
gejammer,"-1,7","0,8232726","1,05","0,2236068","2,95","1,1459","1,85","1,1367","1,45","0,6863","1,3","0,6569"
gekicher,0,"1,15470054","2,4","0,88257995","2,05","0,9987",1,0,"1,05","0,2236","1,15","0,4894"
geld,"1,6","0,96609178","2,75","1,33278497","2,45","1,3169","1,6","1,0954","2,55","1,3563",2,"1,2566"
geldgier,"-1,2","1,31656118",1,0,"3,6","1,2312","1,7","0,9787","1,6","1,0954","2,15","1,4965"
gelenk,"0,05","0,60480532","1,1304","0,34435022","1,5652","0,8958","1,2174","0,5184","1,5652","0,9921","1,5217","0,898"
geliebte,"1,5","1,26929552","2,75","1,40955387","1,85","1,5313","1,7","1,3416","1,7","1,1286","1,8","1,4364"
gemeinde,"0,44117647","1,52138646","1,95","1,05006265","1,4","0,6806",1,0,"1,2","0,5231","1,15","0,4894"
gemetzel,"-2,3","0,9486833",1,0,"3,3","1,3416","2,7","1,3803","3,25","1,4464","2,9","1,6512"
gemse,"0,7","1,03109548","1,95","1,19097483","1,4","0,9403","1,45","0,8256","1,65","0,9333","1,6","1,0463"
gemÃ¼se,"1,32","1,21","2,8261","1,26678454","1,1304","0,3444","1,0435","0,2085","1,0435","0,2085","1,3913","0,6564"
general,"-1,3529412","1,27641432","1,2","0,41039134",2,"1,026","1,25","0,5501","1,65","1,04","1,15","0,3663"
genie,"1,9","0,71818485","3,5217","1,12288448","1,4348","0,9451","1,4348","0,7278","1,4348","0,6624","1,2609","0,449"
genosse,"-0,7941176","1,45184129","1,75","0,91046547","1,6","1,1425","1,1","0,3078","1,35","0,8751","1,3","0,9234"
gerede,"-1,1","0,56764621","1,1739","0,65032676","3,0435","1,2961","1,2609","0,5408","1,4348","0,7878","1,4783","0,898"
gericht,"-0,9393939","1,08798535","1,15","0,48936048","1,95","1,0501","1,15","0,3663",2,"1,1698","1,05","0,2236"
geruch,0,"0,94280904",2,"1,06904497","1,4545","0,9117","1,1364","0,4676","1,3182","0,6463","2,3636","1,0931"
gesang,"1,85","1,18210339","3,1923","1,41475739","1,2692","0,5335","1,4231","0,8086","1,0769","0,3922","1,2308","0,5144"
geschenk,"2,3","0,67494856",4,"1,12390297",1,0,"1,1","0,4472",1,0,1,0
geschrei,"-1,5","0,70710678","1,2","0,52314836","3,3","0,9787","1,45","0,8256","2,45","1,3169","1,45","0,8256"
gesetz,"-0,9","1,37266548","1,4762","1,07791686","2,2857","0,9562","1,1905","0,4024","1,381","0,669","1,1905","0,4024"
gesicht,1,"0,66666667","2,6","1,3533584","1,25","0,5501","1,3","0,8013","1,1","0,3078","1,05","0,2236"
gesindel,"-1,4","0,6992059","1,05","0,2236068","2,6","1,2312","1,55","1,0501","1,65","0,9333","2,05","1,2344"
gesprÃ¤ch,"1,44117647","1,02072988","2,65","1,03998988","1,15","0,3663","1,15","0,3663","1,4","0,7539",1,0
gestank,"-2,1","0,73786479",1,0,"2,45","1,7614","1,3","0,8013","1,45","0,9987",4,"1,1239"
geste,"1,05","0,75915465","2,4","1,09544512","1,3","0,4702","1,35","0,6708","1,2","0,5231","1,35","0,9333"
gewalt,"-2,7","0,57124057","1,1304","0,62554324","3,5217","1,3097","2,6522","1,6127","3,3043","1,4596",2,"1,206"
geweih,"0,09","1,41","1,6957","1,06321907","1,087","0,2881","1,0435","0,2085","1,2609","0,5408","1,2174","0,4217"
gewicht,"-0,9705882","1,26695278","1,25","0,5501196","1,7","0,8645","1,2","0,5231","1,4","0,6806","1,25","0,4443"
gewinn,"2,1","0,96790604","3,7273","1,57908407","1,3182","0,7162",1,0,"1,0455","0,2132",1,0
gewissen,"0,7","1,05934991","1,85","1,18210339","1,45","0,6048","1,45","0,6863","1,95","0,8256","1,1","0,3078"
gewitter,"0,6","1,26491106","2,05","1,14593102","1,2","0,6959","1,4","0,7539","2,5","1,0513","1,05","0,2236"
ghetto,"-1,7","0,8232726","1,2273","0,86914398","2,7727","1,3068","2,4091","1,5325","2,5455","1,4385",2,"1,1547"
giebel,"0,2","0,61558701","1,2174","0,51843486","1,087","0,2881","1,087","0,2881","1,2174","0,6713","1,2174","0,6713"
gift,"-2,5","0,70710678","1,0476","0,21821789","2,4286","1,399","2,2381","1,4458","3,4762","1,3274","2,4286","1,5024"
giftgas,-3,0,"1,1905","0,87287156","3,4762","1,4007","2,8095","1,3274","3,6667","1,3904","2,6667","1,7701"
gigant,"0,35","1,46089374","1,6667","1,06458129","1,2857","0,6437","1,0952","0,4364","2,0952","1,4108","1,2381","0,7003"
giraffe,"1,36","1,29","3,1","1,41048704",1,0,1,0,"1,05","0,2236","1,05","0,2236"
girlande,"1,36","1,14","2,35","1,46089374",1,0,"1,05","0,2236",1,0,"1,2","0,6959"
gitarre,"1,91","1,19","3,2","1,32188064","1,05","0,2236","1,1","0,3078",1,0,"1,15","0,4894"
gitter,"-0,7","0,67494856","1,2273","0,61193045","1,9545","1,1742","1,3636","0,658",2,"1,1952","1,2273","0,5284"
glanz,"1,8","0,63245553","3,2857","1,30930734","1,2381","0,7003","1,4762","0,8729","1,4762","0,7496","1,1905","0,5118"
